date,portfolio_value,positions,cash,invested_pct,equity,daily_pnl,daily_return_pct,peak,drawdown_pct
2024-02-26,101.83,1,80.0,21.4,101.83,1.8299999999999983,1.8299999999999983,101.83,0.0
2024-02-27,101.55,0,101.55,0.0,101.55,-0.28000000000000114,-0.27496808406167256,101.83,-0.27496808406167256
2024-05-22,102.57,1,81.24,20.8,102.57,1.019999999999996,1.0044313146233343,102.57,0.0
2024-05-23,102.17,0,102.17,0.0,102.17,-0.3999999999999915,-0.3899775762893551,102.57,-0.3899775762893551
2024-06-18,102.81,1,81.74,20.5,102.81,0.6400000000000006,0.6264069687775282,102.81,0.0
2024-06-19,102.96,0,102.96,0.0,102.96,0.14999999999999147,0.14590020426027767,102.96,0.0
2024-06-24,101.89,1,82.36,19.2,101.89,-1.0699999999999932,-1.0392385392385326,102.96,-1.0392385392385326
2024-06-25,98.46,2,60.74,38.3,98.46,-3.430000000000007,-3.366375502993431,102.96,-4.370629370629371
2024-06-26,97.49,1,77.54,20.5,97.49,-0.9699999999999989,-0.9851716433069255,102.96,-5.312742812742812
2024-06-27,96.19,0,96.19,0.0,96.19,-1.2999999999999972,-1.3334700994973814,102.96,-6.575369075369072
2024-07-02,95.83,1,76.95,19.7,95.83,-0.35999999999999943,-0.3742592785112792,102.96,-6.925019425019421
2024-07-03,93.87,0,93.87,0.0,93.87,-1.9599999999999937,-2.045288531775012,102.96,-8.828671328671318
2024-07-04,93.43,2,55.61,40.5,93.43,-0.4399999999999977,-0.4687333546393925,102.96,-9.256021756021743
2024-07-05,94.7,0,94.7,0.0,94.7,1.269999999999996,1.3593064326233502,102.96,-8.022533022533015
2024-07-08,95.41,0,95.41,0.0,95.41,0.7099999999999937,0.749736008447723,102.96,-7.332944832944831
2024-07-09,95.48,1,76.33,20.1,95.48,0.07000000000000739,0.07336757153338999,102.96,-7.264957264957256
2024-07-10,95.06,0,95.06,0.0,95.06,-0.4200000000000017,-0.43988269794721585,102.96,-7.672882672882666
2024-07-18,97.75,1,76.04,22.2,97.75,2.6899999999999977,2.82979171049863,102.96,-5.060217560217555
2024-07-19,98.6,0,98.6,0.0,98.6,0.8499999999999943,0.8695652173912984,102.96,-4.234654234654235
2024-07-23,100.24,3,39.44,60.7,100.24,1.6400000000000006,1.6632860040567958,102.96,-2.641802641802641
2024-07-24,99.27,0,99.27,0.0,99.27,-0.9699999999999989,-0.967677573822824,102.96,-3.583916083916082
2024-07-25,99.27,0,99.27,0.0,99.27,0.0,0.0,102.96,-3.583916083916082
2024-07-26,100.21,2,59.56,40.6,100.21,0.9399999999999977,0.9469124609650427,102.96,-2.670940170940171
2024-07-29,104.26,0,104.26,0.0,104.26,4.050000000000011,4.041512823071561,104.26,0.0
2024-07-30,107.02,2,62.56,41.5,107.02,2.759999999999991,2.647228083637052,107.02,0.0
2024-07-31,100.12,2,62.23,37.8,100.12,-6.8999999999999915,-6.447393010652207,107.02,-6.447393010652207
2024-08-01,99.3,0,99.3,0.0,99.3,-0.8200000000000074,-0.8190171793847456,107.02,-7.21360493365726
2024-08-02,97.46,1,79.44,18.5,97.46,-1.8400000000000034,-1.8529707955689863,107.02,-8.932909736497853
2024-08-05,95.66,0,95.66,0.0,95.66,-1.7999999999999972,-1.8469115534578262,107.02,-10.614838347972341
2024-08-07,97.38,2,57.4,41.1,97.38,1.7199999999999989,1.7980347062513053,107.02,-9.007662119230051
2024-08-08,95.55,2,58.69,38.6,95.55,-1.8299999999999983,-1.8792359827479959,107.02,-10.717622874229116
2024-08-09,95.64,0,95.64,0.0,95.64,0.09000000000000341,0.09419152276295491,107.02,-10.633526443655388
2024-08-12,95.9,1,76.51,20.2,95.9,0.2600000000000051,0.27185278126307516,107.02,-10.390581199775733
2024-08-13,95.51,1,75.85,20.6,95.51,-0.39000000000000057,-0.406673618352451,107.02,-10.754999065595209
2024-08-14,96.28,0,96.28,0.0,96.28,0.769999999999996,0.8061983038425254,107.02,-10.03550738179779
2024-08-15,96.28,0,96.28,0.0,96.28,0.0,0.0,107.02,-10.03550738179779
2024-08-21,96.57,1,77.03,20.2,96.57,0.28999999999999204,0.3012048192771002,107.02,-9.764529994393573
2024-08-22,98.52,0,98.52,0.0,98.52,1.9500000000000028,2.019260639950298,107.02,-7.942440665296206
2024-08-28,99.55,1,78.81,20.8,99.55,1.0300000000000011,1.0454730004060102,107.02,-6.9800037376191355
2024-08-29,98.61,0,98.61,0.0,98.61,-0.9399999999999977,-0.9442491210446988,107.02,-7.8583442347224794
2024-09-09,100.42,2,59.17,41.1,100.42,1.8100000000000023,1.8355136395903076,107.02,-6.167071575406461
2024-09-10,101.75,1,81.66,19.7,101.75,1.3299999999999983,1.3244373630750828,107.02,-4.924313212483645
2024-09-11,101.29,1,77.49,23.5,101.29,-0.45999999999999375,-0.4520884520884459,107.02,-5.354139413193786
2024-09-12,107.43,0,107.43,0.0,107.43,6.140000000000001,6.061802744594728,107.43,0.0
2024-09-13,107.43,0,107.43,0.0,107.43,0.0,0.0,107.43,0.0
2024-09-18,107.28,4,21.49,80.0,107.28,-0.15000000000000568,-0.13962580284837164,107.43,-0.13962580284837164
2024-09-19,111.43,0,111.43,0.0,111.43,4.150000000000006,3.8683818046234206,111.43,0.0
2024-09-20,111.43,0,111.43,0.0,111.43,0.0,0.0,111.43,0.0
2024-09-23,112.5,3,44.57,60.4,112.5,1.0699999999999932,0.9602440994346164,112.5,0.0
2024-09-24,113.38,1,90.87,19.8,113.38,0.8799999999999955,0.7822222222222182,113.38,0.0
2024-09-25,108.07,0,108.07,0.0,108.07,-5.310000000000002,-4.683365672958196,113.38,-4.683365672958196
2024-09-26,110.48,2,62.72,43.2,110.48,2.410000000000011,2.2300360877209315,113.38,-2.557770329864166
2024-09-27,116.39,0,116.39,0.0,116.39,5.909999999999997,5.349384503982618,116.39,0.0
2024-10-09,117.55,1,93.11,20.8,117.55,1.1599999999999966,0.9966491966663773,117.55,0.0
2024-10-10,113.29,0,113.29,0.0,113.29,-4.259999999999991,-3.6239897915780444,117.55,-3.6239897915780444
2024-10-14,110.99,1,90.63,18.3,110.99,-2.3000000000000114,-2.030188013063828,117.55,-5.580603998298598
2024-10-15,112.39,0,112.39,0.0,112.39,1.4000000000000057,1.2613748986395221,117.55,-4.389621437686088
2024-10-16,111.72,1,89.91,19.5,111.72,-0.6700000000000017,-0.5961384464810051,117.55,-4.959591663122074
2024-10-17,112.59,0,112.59,0.0,112.59,0.8700000000000045,0.778732545649843,117.55,-4.219481071884299
2024-10-24,112.11,2,67.56,39.7,112.11,-0.480000000000004,-0.4263256061817248,117.55,-4.62781794980859
2024-10-25,114.06,0,114.06,0.0,114.06,1.9500000000000028,1.739363125501742,117.55,-2.9689493832411697
2024-10-30,118.54,3,45.63,61.5,118.54,4.480000000000004,3.9277573207084027,118.54,0.0
2024-10-31,124.35,1,100.61,19.1,124.35,5.809999999999988,4.90129913953095,124.35,0.0
2024-11-01,113.84,3,47.37,58.4,113.84,-10.509999999999991,-8.451950140731798,124.35,-8.451950140731798
2024-11-04,109.64,4,21.55,80.3,109.64,-4.200000000000003,-3.6893886156008455,124.35,-11.829513470044226
2024-11-05,114.97,3,48.48,57.8,114.97,5.329999999999998,4.86136446552353,124.35,-7.543224768797745
2024-11-06,118.26,0,118.26,0.0,118.26,3.2900000000000063,2.8616160737583773,124.35,-4.897466827503007
2024-11-07,126.71,4,23.65,81.3,126.71,8.449999999999989,7.145273127008276,126.71,0.0
2024-11-08,123.46,2,73.79,40.2,123.46,-3.25,-2.564912003788178,126.71,-2.564912003788178
2024-11-11,122.71,3,52.24,57.4,122.71,-0.75,-0.6074842054106594,126.71,-3.1568147738931422
2024-11-12,124.35,4,28.67,76.9,124.35,1.6400000000000006,1.336484394099911,126.71,-1.8625207165969535
2024-11-13,125.32,2,75.05,40.1,125.32,0.9699999999999989,0.7800562927221543,126.71,-1.0969931339278673
2024-11-14,119.84,2,72.31,39.7,119.84,-5.47999999999999,-4.372805617618888,126.71,-5.421829374161464
2024-11-15,115.71,3,49.42,57.3,115.71,-4.13000000000001,-3.446261682242999,126.71,-8.68124062820614
2024-11-18,109.1,2,66.11,39.4,109.1,-6.609999999999999,-5.712557255206983,126.71,-13.897877042064557
2024-11-19,113.46,2,67.63,40.4,113.46,4.359999999999999,3.996333638863428,126.71,-10.456948938521032
2024-11-20,127.51,2,79.88,37.4,127.51,14.050000000000011,12.38321875550856,127.51,0.0
2024-11-21,128.7,2,78.2,39.2,128.7,1.1899999999999835,0.9332601364598726,128.7,0.0
2024-11-22,129.25,3,49.52,61.7,129.25,0.5500000000000114,0.42735042735043627,129.25,0.0
2024-11-25,131.35,1,104.21,20.7,131.35,2.0999999999999943,1.624758220502897,131.35,0.0
2024-11-26,127.51,1,102.37,19.7,127.51,-3.839999999999989,-2.923486867148831,131.35,-2.923486867148831
2024-11-27,130.66,2,76.88,41.2,130.66,3.1499999999999915,2.470394478864396,131.35,-0.5253140464408053
2024-11-28,129.74,0,129.74,0.0,129.74,-0.9199999999999875,-0.7041175570182057,131.35,-1.2257327750285385
2024-11-29,132.1,3,51.89,60.7,132.1,2.359999999999985,1.819022660706016,132.1,0.0
2024-12-02,130.28,3,47.65,63.4,130.28,-1.8199999999999932,-1.3777441332323945,132.1,-1.3777441332323945
2024-12-03,132.76,1,105.84,20.3,132.76,2.4799999999999898,1.9035922628185369,132.76,0.0
2024-12-04,141.89,3,50.91,64.1,141.89,9.129999999999995,6.8770714070503125,141.89,0.0
2024-12-05,156.96,2,93.23,40.6,156.96,15.070000000000022,10.620903516808813,156.96,0.0
2024-12-06,166.69,0,166.69,0.0,166.69,9.72999999999999,6.19903160040774,166.69,0.0
2024-12-09,162.23,1,129.14,20.4,162.23,-4.460000000000008,-2.6756254124422627,166.69,-2.6756254124422627
2024-12-10,166.06,2,96.98,41.6,166.06,3.8300000000000125,2.3608457128767877,166.69,-0.3779470874077602
2024-12-11,171.77,3,65.92,61.6,171.77,5.710000000000008,3.4385161989642343,171.77,0.0
2024-12-12,177.83,2,110.24,38.0,177.83,6.060000000000002,3.527973452873029,177.83,0.0
2024-12-13,176.16,3,67.35,61.8,176.16,-1.670000000000016,-0.9390991396277433,177.83,-0.9390991396277433
2024-12-16,172.07,3,71.28,58.6,172.07,-4.090000000000003,-2.3217529518619457,177.83,-3.2390485294944718
2024-12-17,161.54,6,-40.27,124.9,161.54,-10.530000000000001,-6.1196024873597965,177.83,-9.160434122476534
2024-12-18,163.29,4,33.25,79.6,163.29,1.75,1.0833230159712766,177.83,-8.176348197716932
2024-12-19,156.14,1,124.54,20.2,156.14,-7.150000000000006,-4.378712719701149,177.83,-12.197042118877594
2024-12-20,158.35,1,124.47,21.4,158.35,2.210000000000008,1.4153964390931268,177.83,-10.954282179609748
2024-12-23,154.33,3,63.66,58.7,154.33,-4.019999999999982,-2.5386801389327323,177.83,-13.214868132486082
2024-12-24,162.91,3,66.45,59.2,162.91,8.579999999999984,5.55951532430505,177.83,-8.390035427093299
2024-12-25,167.57,0,167.57,0.0,167.57,4.659999999999997,2.860475108955863,177.83,-5.769555193162019
2024-12-26,168.18,2,99.51,40.8,168.18,0.6100000000000136,0.36402697380200133,177.83,-5.426530956531521
2024-12-27,168.34,0,168.34,0.0,168.34,0.1599999999999966,0.09513616363419941,177.83,-5.336557386267788
2024-12-30,165.72,3,67.34,59.4,165.72,-2.6200000000000045,-1.5563740049899042,177.83,-6.809874599336451
2024-12-31,158.37,2,92.76,41.4,158.37,-7.349999999999994,-4.435191889934827,177.83,-10.943035483326776
2025-01-02,167.91,2,100.72,40.0,167.91,9.539999999999992,6.0238681568478825,177.83,-5.57836135635158
2025-01-03,167.05,3,64.74,61.2,167.05,-0.8599999999999852,-0.5121791435888186,177.83,-6.061969296519147
2025-01-06,160.1,1,128.7,19.6,160.1,-6.950000000000017,-4.160431008680046,177.83,-9.970196254850148
2025-01-07,161.25,4,29.56,81.7,161.25,1.1500000000000057,0.7183010618363559,177.83,-9.323511218579549
2025-01-08,174.82,1,140.76,19.5,174.82,13.569999999999993,8.415503875968987,177.83,-1.6926277905865261
2025-01-09,183.87,0,183.87,0.0,183.87,9.050000000000011,5.17675323189567,183.87,0.0
2025-01-10,182.4,3,70.33,61.4,182.4,-1.4699999999999989,-0.7994778919889046,183.87,-0.7994778919889046
2025-01-13,170.56,1,135.03,20.8,170.56,-11.840000000000003,-6.491228070175441,183.87,-7.238810028824714
2025-01-14,181.33,2,108.77,40.0,181.33,10.77000000000001,6.314493433395878,183.87,-1.3814107793549748
2025-01-15,179.74,1,147.18,18.1,179.74,-1.5900000000000034,-0.8768543539403315,183.87,-2.246152172730731
2025-01-16,176.16,4,37.55,78.7,176.16,-3.5800000000000125,-1.9917658840547525,183.87,-4.193179964105079
2025-01-17,171.24,2,106.2,38.0,171.24,-4.9199999999999875,-2.792915531335143,183.87,-6.868983520965897
2025-01-20,172.65,2,108.49,37.2,172.65,1.4099999999999966,0.823405746320951,183.87,-6.102137379670419
2025-01-21,178.49,2,110.84,37.9,178.49,5.840000000000003,3.3825658847379105,183.87,-2.9259803121770793
2025-01-22,177.65,2,107.0,39.8,177.65,-0.8400000000000034,-0.4706146002577194,183.87,-3.382824821885027
2025-01-23,169.72,1,136.08,19.8,169.72,-7.930000000000007,-4.463833380242053,183.87,-7.695654538532662
2025-01-24,173.85,1,136.09,21.7,173.85,4.1299999999999955,2.433419750176759,183.87,-5.449502365801931
2025-01-27,181.42,4,49.26,72.8,181.42,7.569999999999993,4.354328444060968,183.87,-1.3324631533148512
2025-02-05,168.91,3,60.94,63.9,168.91,-12.509999999999991,-6.895601366993712,183.87,-8.136183172893896
2025-02-06,177.33,2,108.1,39.0,177.33,8.420000000000016,4.984903202889122,183.87,-3.5568608255832883
2025-02-07,186.24,2,110.02,40.9,186.24,8.909999999999997,5.024530536288274,186.24,0.0
2025-02-10,196.73,2,123.26,37.3,196.73,10.48999999999998,5.632517182130573,196.73,0.0
2025-02-11,193.33,2,118.31,38.8,193.33,-3.3999999999999773,-1.728257001982401,196.73,-1.728257001982401
2025-02-12,200.24,3,81.31,59.4,200.24,6.909999999999997,3.574199555164742,200.24,0.0
2025-02-13,192.32,1,156.92,18.4,192.32,-7.920000000000016,-3.9552536955653292,200.24,-3.9552536955653292
2025-02-14,194.54,3,79.36,59.2,194.54,2.219999999999999,1.1543261231281192,200.24,-2.846584099081111
2025-02-17,213.68,2,129.81,39.2,213.68,19.140000000000015,9.838593605428198,213.68,0.0
2025-02-18,210.1,0,210.1,0.0,210.1,-3.5800000000000125,-1.6754024709846556,213.68,-1.6754024709846556
2025-02-19,211.99,4,38.37,81.9,211.99,1.8900000000000148,0.8995716325559329,213.68,-0.790902283788842
2025-02-20,203.43,3,72.38,64.4,203.43,-8.560000000000002,-4.037926317279117,213.68,-4.796892549606889
2025-02-21,208.48,1,168.31,19.3,208.48,5.049999999999983,2.4824263874551358,213.68,-2.4335454885810637
2025-02-24,204.71,3,78.26,61.8,204.71,-3.769999999999982,-1.808326937835755,213.68,-4.197865967802321
2025-02-25,216.62,3,79.47,63.3,216.62,11.909999999999997,5.817986419813392,216.62,0.0
2025-02-26,219.72,5,4.43,98.0,219.72,3.0999999999999943,1.431077462838147,219.72,0.0
2025-02-27,218.26,0,218.26,0.0,218.26,-1.460000000000008,-0.6644820680866594,219.72,-0.6644820680866594
2025-02-28,216.37,2,130.96,39.5,216.37,-1.8899999999999864,-0.8659397049390573,219.72,-1.524667758965954
2025-03-03,195.98,2,113.18,42.2,195.98,-20.390000000000015,-9.423672412996263,219.72,-10.804660476970694
2025-03-04,200.62,1,161.34,19.6,200.62,4.640000000000015,2.3675885294417873,219.72,-8.692881849626795
2025-03-05,198.16,3,77.78,60.7,198.16,-2.460000000000008,-1.226198783770316,219.72,-9.812488621882396
