date,portfolio_value,positions,cash,invested_pct,equity,daily_pnl,daily_return_pct,peak,drawdown_pct
2025-03-06,204.66,0,204.66,0.0,204.66,6.5,3.280177634234962,219.72,-6.8541780447842715
2025-03-07,208.0,3,81.87,60.6,208.0,3.3400000000000034,1.6319749828984673,219.72,-5.334061532860003
2025-03-10,197.95,1,160.51,18.9,197.95,-10.050000000000011,-4.831730769230775,219.72,-9.908064809757878
2025-03-11,200.73,0,200.73,0.0,200.73,2.780000000000001,1.404395049254863,219.72,-8.64281813216822
2025-03-12,200.49,1,160.59,19.9,200.49,-0.23999999999998067,-0.11956359288595661,219.72,-8.752048061168756
2025-03-13,201.41,3,78.56,61.0,201.41,0.9199999999999875,0.4588757544017095,219.72,-8.333333333333334
2025-03-14,193.61,0,193.61,0.0,193.61,-7.799999999999983,-3.872697482746628,219.72,-11.883306025851075
2025-03-18,192.72,1,154.89,19.6,192.72,-0.8900000000000148,-0.459686999638456,219.72,-12.288367012561443
2025-03-19,192.13,2,116.61,39.3,192.13,-0.5900000000000034,-0.3061436280614381,219.72,-12.556890588021119
2025-03-20,190.28,2,113.53,40.3,190.28,-1.8499999999999943,-0.9628897100921222,219.72,-13.398871290733661
2025-03-21,182.69,1,145.75,20.2,182.69,-7.590000000000003,-3.9888585242800105,219.72,-16.853267795375935
2025-03-24,185.35,2,107.29,42.1,185.35,2.6599999999999966,1.4560183918112632,219.72,-15.642636082286549
2025-03-25,177.65,0,177.65,0.0,177.65,-7.699999999999989,-4.15430267062314,219.72,-19.147096304387397
2025-03-26,178.06,2,106.59,40.1,178.06,0.4099999999999966,0.23079088094567776,219.72,-18.960495175678137
2025-03-27,188.31,1,148.04,21.4,188.31,10.25,5.756486577558126,219.72,-14.295466957946475
2025-03-28,188.85,0,188.85,0.0,188.85,0.539999999999992,0.2867611916520589,219.72,-14.04969961769525
2025-03-31,189.24,1,151.08,20.2,189.24,0.3900000000000148,0.20651310563940417,219.72,-13.872200983069357
2025-04-01,196.45,2,112.43,42.8,196.45,7.2099999999999795,3.8099767491016587,219.72,-10.590751866011292
2025-04-02,203.27,1,162.39,20.1,203.27,6.820000000000022,3.4716212776788096,219.72,-7.486801383579096
2025-04-03,205.48,1,164.7,19.8,205.48,2.2099999999999795,1.0872238894081663,219.72,-6.480975787365742
2025-04-07,197.01,2,119.25,39.5,197.01,-8.469999999999999,-4.122055674518201,219.72,-10.335882031676682
2025-04-08,205.4,1,157.22,23.5,205.4,8.390000000000015,4.258667072737432,219.72,-6.5173857636992505
2025-04-09,212.03,1,169.14,20.2,212.03,6.6299999999999955,3.2278481012658204,219.72,-3.4999089750591654
2025-04-10,213.0,0,213.0,0.0,213.0,0.9699999999999989,0.4574824317313582,219.72,-3.0584380120152916
2025-04-11,216.46,2,127.8,41.0,216.46,3.460000000000008,1.6244131455399098,219.72,-1.4837065355907477
2025-04-14,217.12,0,217.12,0.0,217.12,0.6599999999999966,0.304906218238934,219.72,-1.1833242308392473
2025-04-15,208.64,2,130.27,37.6,208.64,-8.480000000000018,-3.905674281503325,219.72,-5.0427817221918865
2025-04-16,210.42,3,79.83,62.1,210.42,1.7800000000000011,0.8531441717791417,219.72,-4.232659748771169
2025-04-17,220.52,1,180.46,18.2,220.52,10.100000000000023,4.799923961600619,220.52,0.0
2025-04-18,212.11,3,84.24,60.3,212.11,-8.409999999999997,-3.8137130419009595,220.52,-3.8137130419009595
2025-04-21,221.38,4,47.35,78.6,221.38,9.269999999999982,4.370373862618444,221.38,0.0
2025-04-22,225.36,3,92.74,58.8,225.36,3.980000000000018,1.7978137139759771,225.36,0.0
2025-04-23,213.47,3,91.06,57.3,213.47,-11.890000000000015,-5.27600283990061,225.36,-5.27600283990061
2025-04-24,220.34,2,136.17,38.2,220.34,6.8700000000000045,3.2182508080760783,225.36,-2.2275470358537497
2025-04-25,213.52,1,171.01,19.9,213.52,-6.819999999999993,-3.0952164836162264,225.36,-5.253816116435926
2025-04-28,213.11,2,130.0,39.0,213.11,-0.4099999999999966,-0.19201948295241503,225.36,-5.43574724884629
2025-04-29,209.32,0,209.32,0.0,209.32,-3.7900000000000205,-1.7784242879264323,225.36,-7.117500887468947
2025-04-30,212.62,2,125.59,40.9,212.62,3.3000000000000114,1.5765335371679778,225.36,-5.653177138800146
2025-05-06,218.11,1,173.93,20.3,218.11,5.490000000000009,2.58207130091243,225.36,-3.2170749023784166
2025-05-07,222.53,0,222.53,0.0,222.53,4.4199999999999875,2.0265003897116074,225.36,-1.255768548100822
2025-05-08,224.5,3,89.01,60.4,224.5,1.9699999999999989,0.8852738956545181,225.36,-0.3816116435924803
2025-05-09,223.92,0,223.92,0.0,223.92,-0.5800000000000125,-0.25835189309577394,225.36,-0.6389776357827592
2025-05-12,232.44,1,179.14,22.9,232.44,8.52000000000001,3.804930332261527,232.44,0.0
2025-05-13,245.42,2,154.51,37.0,245.42,12.97999999999999,5.584236792290479,245.42,0.0
2025-05-14,257.21,1,208.9,18.8,257.21,11.789999999999992,4.804009453182297,257.21,0.0
2025-05-15,256.33,2,155.19,39.5,256.33,-0.8799999999999955,-0.3421328875238115,257.21,-0.3421328875238115
2025-05-16,261.96,0,261.96,0.0,261.96,5.6299999999999955,2.196387469277882,261.96,0.0
2025-05-19,261.96,0,261.96,0.0,261.96,0.0,0.0,261.96,0.0
2025-05-20,262.14,2,157.17,40.0,262.14,0.18000000000000682,0.06871278057718996,262.14,0.0
2025-05-21,249.29,0,249.29,0.0,249.29,-12.849999999999994,-4.901960784313723,262.14,-4.901960784313723
2025-05-22,253.09,2,149.57,40.9,253.09,3.8000000000000114,1.5243290946287502,262.14,-3.4523537041275594
2025-05-23,252.58,4,45.2,82.1,252.58,-0.5099999999999909,-0.20150934450195224,262.14,-3.6469062333104354
2025-05-26,255.67,0,255.67,0.0,255.67,3.089999999999975,1.2233747723493447,262.14,-2.468146791790646
2025-05-27,257.97,1,204.54,20.7,257.97,2.30000000000004,0.899597136934345,262.14,-1.5907530327305865
2025-05-28,255.19,2,157.77,38.2,255.19,-2.7800000000000296,-1.0776446873667593,262.14,-2.651255054550999
2025-05-29,252.48,1,201.83,20.1,252.48,-2.710000000000008,-1.0619538383165517,262.14,-3.6850537880521848
2025-05-30,247.29,1,199.72,19.2,247.29,-5.189999999999998,-2.0556083650190105,262.14,-5.664911879148544
2025-06-03,258.26,1,199.22,22.9,258.26,10.969999999999999,4.436087185086335,262.14,-1.4801251239795512
2025-06-04,257.24,1,207.4,19.4,257.24,-1.0199999999999818,-0.3949508247502447,262.14,-1.869230182345303
2025-06-05,262.23,0,262.23,0.0,262.23,4.990000000000009,1.9398227336339642,262.23,0.0
2025-06-06,263.18,2,157.34,40.2,263.18,0.9499999999999886,0.3622773900774086,263.18,0.0
2025-06-09,269.35,0,269.35,0.0,269.35,6.170000000000016,2.344403070142114,269.35,0.0
2025-06-11,266.3,1,215.48,19.1,266.3,-3.0500000000000114,-1.1323556710599634,269.35,-1.1323556710599634
2025-06-12,265.35,1,213.62,19.5,265.35,-0.9499999999999886,-0.35674051821253794,269.35,-1.485056617783553
2025-06-13,264.49,1,208.63,21.1,264.49,-0.8600000000000136,-0.3241002449594926,269.35,-1.8043437906070219
2025-06-16,270.06,0,270.06,0.0,270.06,5.569999999999993,2.105939733071191,270.06,0.0
2025-12-05,265.95,1,216.05,18.8,265.95,-4.110000000000014,-1.5218840257720558,270.06,-1.5218840257720558
2025-12-08,265.43,0,265.43,0.0,265.43,-0.5199999999999818,-0.19552547471328513,270.06,-1.7144338295193642
2026-01-05,267.9,3,106.17,60.4,267.9,2.4699999999999704,0.9305654974946201,270.06,-0.7998222617196271
2026-01-06,271.49,0,271.49,0.0,271.49,3.590000000000032,1.3400522583053498,271.49,0.0
2026-01-16,271.49,3,108.6,60.0,271.49,0.0,0.0,271.49,0.0
2026-01-19,263.52,6,-63.84,124.2,263.52,-7.970000000000027,-2.935651405208305,271.49,-2.935651405208305
2026-01-20,244.92,2,146.15,40.3,244.92,-18.599999999999994,-7.058287795992713,271.49,-9.78673247633431
2026-01-21,245.54,1,198.33,19.2,245.54,0.6200000000000045,0.25314388371713403,271.49,-9.558363107296776
2026-01-22,247.64,1,199.7,19.4,247.64,2.0999999999999943,0.8552577991365946,271.49,-8.784853954105131
2026-01-23,247.41,1,199.22,19.5,247.41,-0.22999999999998977,-0.09287675658213122,271.49,-8.869571623264214
2026-01-26,239.05,1,191.0,20.1,239.05,-8.359999999999985,-3.3790065074168325,271.49,-11.948874728350951
2026-01-27,234.27,1,187.4,20.0,234.27,-4.780000000000001,-1.9995816774733322,271.49,-13.709528896091935
2026-01-28,231.1,2,140.22,39.3,231.1,-3.170000000000016,-1.3531395398471917,271.49,-14.877159379719332
2026-01-29,238.41,1,193.4,18.9,238.41,7.310000000000002,3.1631328429251417,271.49,-12.18461085122841
2026-01-30,235.06,2,140.57,40.2,235.06,-3.3499999999999943,-1.4051424017448908,271.49,-13.418542119415081
2026-02-02,223.99,0,223.99,0.0,223.99,-11.069999999999993,-4.709435888709263,271.49,-17.49604036981104
2026-02-03,230.68,3,89.59,61.2,230.68,6.689999999999998,2.9867404794856904,271.49,-15.031861210357656
2026-02-04,229.27,0,229.27,0.0,229.27,-1.4099999999999966,-0.6112363447199569,271.49,-15.551217356072044
2026-02-05,225.06,0,225.06,0.0,225.06,-4.210000000000008,-1.836262921446333,271.49,-17.101919039375304
2026-02-06,224.09,0,224.09,0.0,224.09,-0.9699999999999989,-0.4309961787967648,271.49,-17.459206600611445
2026-02-09,223.11,2,132.81,40.5,223.11,-0.9799999999999898,-0.43732428934802525,271.49,-17.82017753876754
2026-02-10,225.0,1,178.45,20.7,225.0,1.8899999999999864,0.8471157724889007,271.49,-17.124019300895064
2026-02-11,222.01,0,222.01,0.0,222.01,-2.990000000000009,-1.328888888888893,271.49,-18.225348999963174
2026-02-12,222.87,1,177.61,20.3,222.87,0.8600000000000136,0.38736993829107413,271.49,-17.908578584846587
2026-02-13,217.81,3,87.05,60.0,217.81,-5.060000000000002,-2.2703818369453055,271.49,-19.77236730634646
2026-02-24,209.1,2,127.12,39.2,209.1,-8.710000000000008,-3.9988981222166147,271.49,-22.980588603631812
2026-02-25,209.36,0,209.36,0.0,209.36,0.2600000000000193,0.12434241989479644,271.49,-22.88482080371284
2026-02-26,209.46,2,125.61,40.0,209.46,0.09999999999999432,0.04776461597248486,271.49,-22.847987034513242
2026-02-27,216.53,1,172.27,20.4,216.53,7.069999999999993,3.3753461281390207,271.49,-20.24383955210137
2026-03-02,223.62,2,135.23,39.5,223.62,7.090000000000003,3.274373066087841,271.49,-17.632325315849574
2026-03-03,212.9,0,212.9,0.0,212.9,-10.719999999999999,-4.79384670423039,271.49,-21.580905374046928
2026-03-04,218.75,1,169.83,22.4,218.75,5.849999999999994,2.7477689055894756,271.49,-19.426129875870203
2026-03-05,216.21,1,173.26,19.9,216.21,-2.539999999999992,-1.1611428571428535,271.49,-20.36170761354009
2026-03-06,215.59,2,129.26,40.0,215.59,-0.6200000000000045,-0.2867582442995257,271.49,-20.590076982577628
2026-03-09,221.66,2,130.73,41.0,221.66,6.069999999999993,2.815529477248478,271.49,-18.354267192161778
2026-03-10,220.54,2,130.83,40.7,220.54,-1.1200000000000045,-0.5052783542362197,271.49,-18.766805407197324
2026-03-11,222.11,1,178.9,19.5,222.11,1.5700000000000216,0.7118889997279504,271.49,-18.18851523076356
2026-03-12,221.96,2,130.88,41.0,221.96,-0.15000000000000568,-0.06753410472288761,271.49,-18.24376588456297
2026-03-13,211.5,4,39.56,81.3,211.5,-10.460000000000008,-4.712560821769691,271.49,-22.09657814284136
2026-03-16,216.78,1,178.74,17.5,216.78,5.280000000000001,2.4964539007092204,271.49,-20.151755129102362
2026-03-17,216.78,0,216.78,0.0,216.78,0.0,0.0,271.49,-20.151755129102362
2026-03-18,213.7,1,173.43,18.8,213.7,-3.0800000000000125,-1.4207952763170093,271.49,-21.286235220450113
2026-03-19,209.72,3,85.02,59.5,209.72,-3.9799999999999898,-1.8624239588207718,271.49,-22.75221923459428
2026-03-20,194.39,2,114.41,41.1,194.39,-15.330000000000013,-7.309746328437923,271.49,-28.3988360528933
2026-03-23,190.91,2,113.22,40.7,190.91,-3.4799999999999898,-1.7902155460671796,271.49,-29.68065122103945
2026-03-24,195.7,2,116.9,40.3,195.7,4.789999999999992,2.509035671258704,271.49,-27.91631367637851
2026-03-25,195.72,0,195.72,0.0,195.72,0.020000000000010232,0.010219724067455409,271.49,-27.908946922538586
2026-03-26,197.44,2,117.43,40.5,197.44,1.7199999999999989,0.8788064582055992,271.49,-27.275406092305428
2026-03-27,197.52,1,157.17,20.4,197.52,0.0800000000000125,0.04051863857375026,271.49,-27.245939076945742
2026-03-30,201.66,1,162.05,19.6,201.66,4.139999999999986,2.0959902794653638,271.49,-25.721021032082213
2026-03-31,201.45,0,201.45,0.0,201.45,-0.21000000000000796,-0.10413567390657938,271.49,-25.79837194740138
2026-04-01,199.1,1,161.16,19.1,199.1,-2.3499999999999943,-1.1665425663936433,271.49,-26.663965523592033
2026-04-02,200.01,0,200.01,0.0,200.01,0.9099999999999966,0.45705675539929513,271.49,-26.328778223875656
2026-04-03,198.82,1,160.01,19.5,198.82,-1.1899999999999977,-0.5949702514874246,271.49,-26.767100077350918
2026-04-07,197.78,2,118.66,40.0,197.78,-1.039999999999992,-0.5230862086309185,271.49,-27.15017127702678
2026-04-08,202.3,0,202.3,0.0,202.3,4.52000000000001,2.285367580139554,271.49,-25.485284909204758
2026-04-09,201.28,2,121.38,39.7,201.28,-1.0200000000000102,-0.504201680672274,271.49,-25.860989355040704
2026-04-10,204.79,0,204.79,0.0,204.79,3.509999999999991,1.7438394276629525,271.49,-24.568124056134668
2026-04-13,210.35,2,122.88,41.6,210.35,5.560000000000002,2.7149763172029897,271.49,-22.520166488636786
2026-04-14,227.09,1,183.95,19.0,227.09,16.74000000000001,7.958164963156649,271.49,-16.354193524623376
2026-04-15,228.11,0,228.11,0.0,228.11,1.0200000000000102,0.4491611255449426,271.49,-15.978489078787431
2026-04-16,228.52,1,182.49,20.1,228.52,0.4099999999999966,0.17973784577615912,271.49,-15.827470625069061
2026-04-17,224.47,1,179.94,19.8,224.47,-4.050000000000011,-1.772273761596364,271.49,-17.319238277652953
2026-04-20,223.29,0,223.29,0.0,223.29,-1.1800000000000068,-0.5256827192943408,271.49,-17.753876754208264
2026-04-22,225.72,2,133.98,40.6,225.72,2.430000000000007,1.0882708585247916,271.49,-16.858816162657927
2026-04-23,222.85,0,222.85,0.0,222.85,-2.8700000000000045,-1.2714867978025892,271.49,-17.915945338686512
2026-04-29,223.9,1,178.28,20.4,223.9,1.0500000000000114,0.4711689477226885,271.49,-17.529190762090685
2026-04-30,226.85,1,181.07,20.2,226.85,2.9499999999999886,1.317552478785167,271.49,-16.442594570702425
2026-05-06,232.18,0,232.18,0.0,232.18,5.3300000000000125,2.3495702005730714,271.49,-14.479354672363623
2026-05-07,233.27,1,185.74,20.4,233.27,1.0900000000000034,0.46946334740287854,271.49,-14.077866588087959
2026-05-08,230.17,1,183.96,20.1,230.17,-3.1000000000000227,-1.3289321387233775,271.49,-15.219713433275633
2026-05-11,225.03,1,182.47,18.9,225.03,-5.139999999999986,-2.2331320328452824,271.49,-17.11296917013518
2026-05-12,222.9,2,132.55,40.5,222.9,-2.1299999999999955,-0.9465404612718284,271.49,-17.897528454086707
2026-05-13,231.64,1,184.71,20.3,231.64,8.73999999999998,3.92104082548227,271.49,-14.678257026041482
2026-05-14,226.63,1,184.05,18.8,226.63,-5.009999999999991,-2.162838887929542,271.49,-16.52362886294155
2026-05-15,227.4,0,227.4,0.0,227.4,0.7700000000000102,0.33976084366589165,271.49,-16.240008840104608
